# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,7246.491375,7.546700,2.366220,-2926.634986,6897.901994,-94.712646,30.480722
pos,7255.937576,10.307210,0.000000,-3131.365269,6931.543028,-96.956947,30.783978
pos,7328.863166,9.826080,1.066760,-3122.554682,6930.497783,-96.861290,30.774555
pos,7489.449147,9.598300,0.941860,-2915.157723,6931.663634,-94.688660,30.785065
pos,7556.497395,8.783370,0.532970,-2934.823813,6898.020060,-94.798637,30.481787
pos,7594.350303,8.699510,2.057820,-3114.043218,6927.217532,-96.761955,30.744986
pos,7621.629139,9.199390,2.073960,-3161.560811,6870.402305,-97.086281,30.232828
pos,7635.764539,9.600650,0.705800,-2932.419608,6899.720171,-94.778320,30.497112
pos,7657.596894,9.005510,1.137200,-3117.994743,6937.547689,-96.835091,30.838106
pos,7730.947940,10.841670,1.748390,-3164.811064,6864.225201,-97.101517,30.177145
pos,7732.108781,9.091140,1.140091,-2932.686293,6903.305955,-94.791313,30.529436
pos,7811.046076,9.895650,1.308810,-2927.793270,6903.694431,-94.741211,30.532938
pos,7821.168200,10.354170,0.569080,-3158.166923,6877.417087,-97.072098,30.296062
pos,7853.973715,10.066160,1.773630,-2926.718288,6904.085234,-94.731071,30.536461
pos,7892.267730,9.627020,0.638271,-3083.655701,6964.689370,-96.557617,31.082773
pos,8016.207778,10.409350,1.969830,-2924.118252,6905.504991,-94.707893,30.549259
pos,8028.647508,9.064110,1.448779,-3108.238997,6944.771096,-96.754845,30.903221
pos,8061.045121,10.345720,1.340330,-2922.948024,6907.058048,-94.700058,30.563259
pos,8098.567116,10.124800,1.889530,-2921.600840,6908.718169,-94.690674,30.578224
pos,8121.212131,11.089880,1.679380,-2921.424994,6910.590935,-94.694160,30.595106
pos,8208.186878,9.362030,0.494010,-2890.214202,6945.081919,-94.465187,30.906023
pos,8311.933851,9.384580,2.305780,-2918.730536,6912.013866,-94.669991,30.607933
pos,8316.907009,9.129710,2.286250,-2924.144356,6908.547417,-94.716820,30.576685
pos,8324.900374,9.999680,1.101120,-2899.004018,6947.200128,-94.563614,30.925117
pos,8339.473635,9.196350,1.979690,-2917.912035,6913.246366,-94.664925,30.619043
pos,8339.907193,9.995720,0.646070,-2914.065085,6909.460420,-94.613876,30.584915
pos,8350.827906,9.578860,0.822399,-2926.428295,6908.348101,-94.740166,30.574888
pos,8371.480163,10.278320,1.606380,-2924.712236,6909.334313,-94.725006,30.583778
pos,8388.079269,10.104630,1.961811,-2915.246756,6914.628672,-94.640938,30.631504
