# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,62342.771807,10.130450,0.529770,65.496238,58.600633,-94.686256,30.288252
pos,62527.975685,8.737540,0.688220,32.661991,80.809560,-95.028328,30.488453
pos,62532.123191,9.133830,0.938950,56.593895,89.056631,-94.777527,30.562796
pos,63112.871176,9.772600,1.319391,45.766383,70.161386,-94.891716,30.392466
pos,63199.852676,9.234580,0.950070,44.413149,68.669266,-94.905922,30.379015
pos,63247.904197,9.292350,0.473561,70.923461,61.831795,-94.629379,30.317379
pos,63454.690128,8.014340,1.071500,96.376608,59.825940,-94.363770,30.299297
pos,63572.403579,10.598310,0.455311,64.180352,49.106884,-94.700577,30.202671
pos,63651.436118,9.207230,2.561439,63.752083,49.169303,-94.705040,30.203234
pos,63667.556625,9.639290,1.483810,76.223503,64.716377,-94.573822,30.343382
pos,63790.661209,9.853580,2.020229,65.211108,49.453042,-94.689804,30.205791
pos,63835.260805,8.389330,0.862220,31.241216,97.144799,-95.042694,30.635706
pos,63836.660963,9.591510,0.998460,66.693530,52.238600,-94.674164,30.230902
pos,63865.999981,10.666430,1.035830,67.001572,52.327467,-94.670944,30.231703
pos,63871.614884,7.824290,1.003330,48.829249,92.979475,-94.858627,30.598158
pos,63929.990673,9.424870,0.693439,42.795610,83.852620,-94.922195,30.515884
pos,63965.489051,9.179630,1.259510,43.683728,83.301010,-94.912926,30.510912
pos,63996.659758,10.177650,1.427250,55.309445,71.899159,-94.791893,30.408131
pos,64027.114564,10.540110,0.637100,69.253831,54.741053,-94.647285,30.253460
pos,64073.159295,8.187260,0.904230,101.190663,66.500699,-94.312859,30.359467
pos,64084.674968,9.764490,0.367180,73.555059,86.425532,-94.600151,30.539078
pos,64191.715928,9.207400,0.352170,58.280497,69.955299,-94.760948,30.390608
pos,64292.194290,10.916990,0.035010,74.357478,50.458298,-94.594330,30.214853
pos,64393.850287,9.079600,1.986750,50.606261,87.672421,-94.840279,30.550318
pos,64421.146908,10.120780,0.930620,76.275345,49.066894,-94.574425,30.202311
pos,64455.026689,10.951900,1.288720,74.290824,51.869167,-94.594925,30.227571
pos,64553.786632,11.379350,0.794660,77.025798,55.077267,-94.566154,30.256491
pos,64685.438169,11.071750,1.319640,40.478115,102.897035,-94.945694,30.687559
pos,64810.234549,10.520380,0.934620,81.020337,55.664212,-94.524422,30.261782
pos,64818.122392,11.503590,0.113420,96.808881,56.000426,-94.359612,30.264812
pos,64929.500268,10.530830,1.101320,79.680390,56.961036,-94.538307,30.273472
pos,64955.889548,9.713820,1.581040,40.046468,102.713799,-94.950226,30.685907
pos,64963.234821,9.537190,1.149520,89.711861,66.506624,-94.432777,30.359520
pos,65066.396055,8.679540,1.254000,67.989287,74.419174,-94.659195,30.430847
pos,65132.737815,9.641340,1.314970,98.400266,60.042606,-94.342621,30.301250
pos,65143.504528,9.865070,1.271979,29.839504,112.502714,-95.056931,30.774149
pos,65241.930548,10.631710,0.385080,69.700360,75.811424,-94.641212,30.443398
pos,65357.446889,8.952150,0.002029,60.262904,100.025995,-94.738472,30.661678
pos,65538.684949,8.389910,0.874040,103.553212,60.825270,-94.288742,30.308306
pos,65603.380221,11.441770,0.956521,87.294293,66.543652,-94.458031,30.359854
pos,65663.228458,8.456110,1.263930,88.590068,52.245583,-94.445709,30.230965
pos,65897.316877,10.368000,0.517650,63.687875,80.891867,-94.703766,30.489195
pos,66070.772752,10.143580,0.987090,39.079492,113.766953,-94.959938,30.785545
pos,66115.551040,10.489130,1.132680,-79.468145,-50.467557,-96.191490,29.305063
pos,66115.853132,10.905860,0.253960,-78.547368,-48.064762,-96.182144,29.326723
pos,66185.737270,11.524470,0.000000,69.241846,84.953937,-94.645393,30.525812
pos,66200.879521,9.363500,0.729490,84.011935,71.686936,-94.491905,30.406218
pos,66601.450995,10.293350,0.828420,70.453068,81.563448,-94.632950,30.495249
pos,66648.340754,9.690740,0.826760,39.265441,115.002628,-94.957939,30.796684
pos,66662.706169,11.068180,0.234271,101.079021,65.863396,-94.314087,30.353722
pos,66677.154725,10.048980,0.099420,46.040920,117.749676,-94.886711,30.821447
pos,66690.003406,9.498560,1.182860,88.567203,76.985527,-94.443840,30.453981
pos,66750.904638,10.249660,0.811510,-68.780887,-42.515228,-96.081512,29.376749
pos,66776.994356,10.176950,0.756010,46.379843,119.533788,-94.883072,30.837530
pos,66781.407251,9.120450,0.850229,89.398320,77.853461,-94.435074,30.461805
pos,66787.865320,11.742750,0.000000,108.500700,63.524289,-94.236801,30.332636
pos,66795.720334,9.814700,0.805370,71.840626,81.382963,-94.618446,30.493622
pos,66857.740974,8.481260,0.795380,-75.886668,-47.201694,-96.154694,29.334503
pos,66870.774551,12.399600,0.129721,100.620681,64.096000,-94.319046,30.337790
pos,66922.753275,8.426630,1.015860,-77.132347,-47.342823,-96.167564,29.333231
pos,66928.611288,9.602030,1.410620,90.538495,77.340149,-94.423195,30.457178
pos,66966.912862,9.569590,1.235240,73.440486,80.233405,-94.601791,30.483259
pos,67075.863599,10.035240,1.016450,72.961150,79.390649,-94.606865,30.475662
pos,67107.665044,11.492270,0.384150,-67.055415,-33.153087,-96.064240,29.461143
