# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,33174.910847,7.070110,0.451190,23.816883,40.692023,-95.121773,30.126816
pos,34814.158412,5.051990,0.604250,42.821731,45.920578,-94.923485,30.173948
pos,43674.454748,10.950460,0.468950,-171.317136,-49.035316,-97.141190,29.317974
pos,47477.051218,12.585690,0.053149,-167.851850,-45.910794,-97.105843,29.346140
pos,47633.431740,10.445610,0.989229,-155.196552,-43.867276,-96.975258,29.364561
pos,49531.304504,11.552080,0.020780,-150.024153,-51.580510,-96.920700,29.295031
pos,49886.809713,9.652680,0.000000,-145.810749,-64.098488,-96.875488,29.182188
pos,49952.137725,12.312060,0.336080,-142.859854,-74.632828,-96.843658,29.087227
pos,50045.262113,10.137610,0.411540,-139.235400,-52.742976,-96.809036,29.284552
pos,50491.735918,11.008350,1.029110,-130.964025,-72.833482,-96.721161,29.103447
pos,50944.568212,9.890360,1.178550,-120.171008,-78.946052,-96.609146,29.048346
pos,51030.946842,11.642000,0.507190,-128.691953,-64.225018,-96.698723,29.181047
pos,51195.907657,11.454140,0.791940,-118.247584,-75.611211,-96.589668,29.078407
pos,51211.842006,9.266280,0.755750,-105.753949,-49.805286,-96.463280,29.311033
pos,51463.023494,7.564780,1.181380,-90.770531,11.351941,-96.313522,29.862331
pos,51791.763473,7.874670,0.289090,-88.228995,-57.906996,-96.281456,29.238001
pos,51917.715803,11.073220,0.887410,-120.490104,-62.025136,-96.614281,29.200878
pos,52236.366154,8.754490,1.548300,-104.680995,-58.933410,-96.451317,29.228748
pos,52496.283554,11.835430,0.553280,-116.298669,-58.967687,-96.571320,29.228439
pos,52508.576705,10.258490,1.698720,-87.152772,-74.107243,-96.269058,29.091965
pos,52534.174109,12.442720,0.376630,-117.423630,-57.761212,-96.583069,29.239315
pos,52690.766435,10.932190,1.729590,-119.165297,-63.068689,-96.600487,29.191471
pos,52809.155343,12.281710,1.259930,-121.455660,-28.180131,-96.628014,29.505972
pos,52818.685681,11.543710,0.808430,-114.030309,-59.101411,-96.547874,29.227234
pos,52926.004015,11.301430,1.318130,-96.598283,-48.847215,-96.368713,29.319670
pos,53038.213447,9.351310,0.447530,-108.886092,-51.271803,-96.495514,29.297813
pos,53047.023554,5.945670,0.538740,-67.942829,-21.497119,-96.074158,29.566216
pos,53079.927789,10.498470,0.219521,-68.247651,-26.467113,-96.077003,29.521414
pos,53215.069607,10.358950,0.197210,-64.344802,-22.695131,-96.036797,29.555416
pos,53255.131249,10.384480,0.000000,-123.380850,-37.632831,-96.646881,29.420761
pos,53354.990305,11.061710,1.468210,-117.265657,-31.115281,-96.584297,29.479513
pos,53390.160764,10.307670,1.304130,-129.006991,-33.433441,-96.705605,29.458616
pos,53575.845645,10.298380,0.966440,-69.719561,-24.286062,-96.092392,29.541075
pos,53631.013616,4.886930,0.407970,-38.819519,-24.072570,-95.772232,29.542999
pos,53632.157511,8.457500,1.093220,-56.903064,-21.393864,-95.959747,29.567146
pos,53661.782645,10.574830,0.000000,-70.942557,-28.939944,-96.104759,29.499123
