# Generated by ChargePol
#charge (pos/neg), time (UT sec), bottom height of layer (km), depth of layer (km), x distance from LMA center (km), y distance from LMA center (km), longitude, latitude
charge,time,zmin,zwidth,x,y,lon,lat
pos,11.266078,9.290880,0.149470,20.279845,46.163693,-95.158531,30.176140
pos,11.636142,8.413730,0.847159,6.618347,66.566292,-95.300858,30.360058
pos,29.210045,11.859140,0.394841,20.597202,28.718673,-95.155563,30.018883
pos,35.722036,10.768090,0.000000,25.845381,42.837739,-95.100578,30.146158
pos,35.827344,10.091470,1.418370,24.068588,29.722236,-95.119400,30.027929
pos,50.003123,10.601970,0.497721,25.662875,36.387686,-95.102638,30.088015
pos,58.450585,8.854610,0.261220,17.765006,28.615841,-95.185051,30.017956
pos,63.602067,8.384520,2.262450,101.646573,48.238315,-94.309875,30.194841
pos,89.286214,11.157730,1.448550,22.804332,35.489282,-95.132439,30.079916
pos,93.098179,4.515870,1.114480,20.693560,42.896349,-95.154282,30.146687
pos,93.391336,10.627650,0.411949,26.312866,48.387696,-95.095566,30.196188
pos,109.596576,12.538620,0.000000,18.394570,27.701357,-95.178513,30.009712
pos,130.234887,10.270730,0.575109,10.280517,27.932623,-95.262978,30.011797
pos,153.967345,11.514200,0.984680,14.445684,25.519037,-95.219650,29.990040
pos,160.690600,8.775040,1.051310,59.873720,74.665886,-94.744026,30.433071
pos,171.743722,10.444900,1.395290,10.494873,28.327024,-95.260742,30.015352
pos,190.398616,8.106700,2.240700,-6.596142,37.696147,-95.438728,30.099810
pos,201.300501,9.754080,0.823010,36.840389,46.108468,-94.985847,30.175642
pos,201.816810,8.256270,0.929921,42.277219,53.890257,-94.928841,30.245790
pos,216.709039,10.726200,1.406280,20.616019,35.091920,-95.155243,30.076334
pos,233.228141,8.373220,1.309860,18.080452,30.643702,-95.181732,30.036236
pos,241.900591,8.837050,0.796580,15.502544,13.113201,-95.208832,29.878208
pos,260.209363,7.116800,0.557610,55.327886,71.432819,-94.791725,30.403927
pos,306.827072,8.947630,0.381950,25.979665,62.641543,-95.098686,30.324678
pos,307.741993,8.498380,1.647820,0.752375,49.621043,-95.362152,30.207306
pos,308.075968,9.061560,0.507690,-6.044567,39.405356,-95.432991,30.115217
pos,351.354904,10.047140,0.000000,20.188399,32.248387,-95.159752,30.050701
pos,457.492117,9.768420,1.623970,26.175405,25.040213,-95.097580,29.985723
pos,460.228472,8.209220,1.790061,5.822007,50.783085,-95.309265,30.217781
pos,462.636040,10.080980,0.186270,24.325665,50.218357,-95.116249,30.212690
pos,463.821168,9.483320,1.608330,20.335550,27.944049,-95.158302,30.011900
pos,464.161260,9.398140,0.558860,17.440550,23.406330,-95.188515,29.970995
pos,471.761078,10.171410,2.399970,20.068242,27.839313,-95.161087,30.010956
pos,472.178012,11.049460,0.934660,19.213332,25.531309,-95.170029,29.990150
pos,475.116904,4.800560,0.619840,21.859004,28.778764,-95.142426,30.019424
pos,481.360175,7.491940,0.768840,50.601750,45.420172,-94.842384,30.169437
pos,484.635714,9.315050,2.792380,22.541154,34.544330,-95.135201,30.071398
pos,485.065771,9.734500,1.433780,21.911203,51.023873,-95.141418,30.219952
pos,510.058211,11.277070,1.532720,13.602246,36.536432,-95.228287,30.089355
pos,518.410100,10.851680,0.168910,21.661557,28.568657,-95.144485,30.017530
pos,531.287469,10.163720,2.066061,26.729973,27.907233,-95.091736,30.011568
pos,547.358099,12.282470,0.344500,25.943808,26.262346,-95.099960,29.996740
pos,551.375199,9.140810,1.192830,18.847461,23.867380,-95.173866,29.975151
pos,556.945180,8.464190,1.485890,20.473467,13.247983,-95.157150,29.879423
pos,565.958216,9.438770,1.344591,20.386021,29.578567,-95.157745,30.026634
pos,572.138116,8.040480,0.808630,-5.179778,21.095364,-95.423889,29.950163
pos,584.509161,7.612720,2.010080,62.929301,72.004530,-94.712242,30.409081
pos,589.025032,8.659750,1.623550,23.349953,31.008480,-95.126854,30.039524
pos,596.133913,8.521460,1.115380,-2.200454,67.401430,-95.392990,30.367586
pos,620.928532,10.592120,0.032110,26.857627,29.953713,-95.090355,30.030016
pos,633.632165,9.780260,1.914030,25.599776,30.468930,-95.103439,30.034660
pos,639.065666,10.209110,2.061319,24.427462,28.151829,-95.115700,30.013773
pos,649.707836,8.120450,1.035880,-2.665870,21.304836,-95.397736,29.952051
pos,677.303048,9.396800,1.092730,38.231170,40.903400,-94.971535,30.128721
pos,677.764759,8.506780,2.171779,28.676084,37.045513,-95.071228,30.093945
pos,700.522588,9.579900,3.720710,24.689728,27.542455,-95.112984,30.008280
pos,702.505415,6.537970,1.435120,57.205749,63.463775,-94.772537,30.332090
pos,720.416564,8.129310,1.647840,0.551722,39.910628,-95.364250,30.119772
pos,720.589701,8.501400,0.200699,2.827406,55.365450,-95.340492,30.259089
pos,734.972608,8.157800,1.406170,54.219079,41.184389,-94.804886,30.131254
pos,736.306412,9.717570,1.937920,24.213798,26.335767,-95.117966,29.997402
pos,771.661038,8.392910,1.575050,29.621352,15.829358,-95.061974,29.902693
pos,805.992822,9.830290,0.305740,30.569252,27.475170,-95.051781,30.007673
pos,811.695368,10.135190,0.226619,26.718948,26.712818,-95.091881,30.000801
pos,843.369201,8.159390,0.771100,29.144503,14.421239,-95.066971,29.889999
pos,858.697287,10.664720,0.717490,15.468034,39.214503,-95.208809,30.113497
pos,866.207937,6.937330,1.427060,39.045321,52.736679,-94.962608,30.235392
pos,880.199363,8.185720,1.607459,-1.813188,24.761763,-95.388870,29.983213
pos,882.112204,9.765590,1.739920,25.912381,31.201449,-95.100166,30.041264
pos,887.681269,10.663160,1.495660,17.644068,35.471509,-95.186195,30.079756
pos,892.119918,9.083340,0.850740,72.022734,64.300183,-94.617729,30.339630
pos,907.997425,9.319750,1.673530,-0.792726,24.822912,-95.378250,29.983765
pos,910.032588,8.774260,0.587620,121.834254,19.130133,-94.102692,29.932447
pos,934.736671,8.811830,1.005070,63.189182,76.498663,-94.709251,30.449593
pos,960.347519,8.620580,1.463030,53.871184,43.455788,-94.808395,30.151730
pos,961.827027,10.721200,0.713390,17.779817,30.786313,-95.184860,30.037521
pos,1001.030990,9.753420,1.418640,36.956579,31.603466,-94.985146,30.044888
pos,1022.122880,10.007580,0.997780,31.225893,38.055847,-95.044632,30.103052
pos,1053.646194,7.514390,1.989700,43.164282,58.822377,-94.919380,30.290251
pos,1056.943825,8.126070,2.523200,-0.939369,24.516533,-95.379776,29.981003
pos,1058.011613,9.404100,0.775200,32.209444,28.995219,-95.034660,30.021376
pos,1058.372825,11.637430,0.392641,25.671771,30.074107,-95.102699,30.031101
pos,1097.754552,7.993910,1.115280,31.651313,37.798132,-95.040207,30.100729
pos,1139.844487,9.320340,0.615650,54.681261,44.348055,-94.799904,30.159773
pos,1141.634108,9.421150,0.583180,6.954733,42.944591,-95.297501,30.147121
pos,1142.044736,8.470630,0.564080,7.690775,51.576752,-95.289764,30.224936
pos,1161.367354,3.492380,0.000000,26.139972,30.080455,-95.097824,30.031158
pos,1168.071554,11.266800,1.079660,26.006523,31.976919,-95.099167,30.048254
pos,1189.013989,9.307660,1.523890,36.381286,19.230003,-94.991562,29.933348
pos,1214.925361,9.052170,1.727030,18.587264,20.346130,-95.176636,29.943409
pos,1237.448215,8.601730,1.183710,0.833173,25.861175,-95.361328,29.993124
pos,1238.578495,9.883490,0.915420,31.295042,53.535212,-95.043449,30.242590
pos,1239.288601,8.004020,1.098880,31.540707,42.897407,-95.041206,30.146696
pos,1271.969496,7.833860,0.947440,65.686411,48.988606,-94.684875,30.201605
pos,1282.818229,9.201100,2.283391,74.965552,69.497846,-94.586617,30.386484
pos,1334.724297,11.182090,1.697300,29.672256,29.618769,-95.061058,30.026997
pos,1348.077830,10.875110,1.619350,29.043576,32.379783,-95.067528,30.051886
pos,1348.418037,10.974500,0.188080,32.060044,43.997242,-95.035759,30.156610
pos,1363.315217,7.933080,0.000000,28.924362,55.280180,-95.068138,30.258320
pos,1407.395104,11.050060,1.248240,33.698705,29.886005,-95.019127,30.029406
pos,1426.979500,9.273350,1.148431,1.969911,26.786027,-95.349495,30.001461
pos,1456.254296,9.846580,2.599520,36.580684,27.434545,-94.989204,30.007307
pos,1491.333352,9.055100,3.150271,34.930137,28.138499,-95.006363,30.013653
pos,1497.841102,8.412010,3.594580,35.946212,27.813711,-94.995796,30.010725
pos,1503.660158,8.072210,2.179090,24.415858,18.498331,-95.116043,29.926752
pos,1513.725279,9.652910,1.403710,42.494674,31.757502,-94.927467,30.046276
pos,1519.101840,7.738940,1.626890,14.230345,51.890749,-95.221535,30.227766
pos,1530.817806,8.721710,1.477090,68.112393,38.457441,-94.660255,30.106672
pos,1566.676150,10.798370,1.277140,35.730412,31.974803,-94.997902,30.048235
pos,1574.211614,8.799940,1.702949,37.598081,22.244499,-94.978798,29.960522
pos,1618.820232,8.984850,1.401990,69.484061,38.062406,-94.645988,30.103111
pos,1632.841117,8.566530,1.330890,20.307451,8.134955,-95.158974,29.833332
pos,1763.293962,8.075260,3.598391,37.786480,23.969577,-94.976776,29.976072
pos,1764.323502,8.106040,1.753310,25.701312,9.187394,-95.102898,29.842819
pos,1766.309983,9.230130,0.571300,3.820402,27.400267,-95.330231,30.006998
pos,1780.602838,8.743160,2.298570,38.406518,23.184797,-94.970352,29.968998
pos,1783.050059,5.459960,1.922080,21.939050,26.856274,-95.141632,30.002094
pos,1822.607493,9.769480,1.258800,42.435996,32.344448,-94.928055,30.051567
pos,1838.144051,9.287520,0.362690,58.851019,52.073138,-94.755997,30.229410
pos,1843.621893,11.383330,0.871100,41.445362,33.751932,-94.938316,30.064255
pos,1862.621007,8.741160,1.106470,30.091925,50.216452,-95.056099,30.212673
pos,1911.577773,8.356420,1.835800,25.300654,7.825825,-95.107094,29.830545
pos,1931.153600,8.534230,0.642470,37.935897,29.541116,-94.975021,30.026297
pos,1931.298454,11.038320,0.396870,44.608741,26.766984,-94.905663,30.001289
pos,1959.948222,7.507010,1.571050,24.413233,8.050108,-95.116310,29.832567
pos,1968.026330,9.465690,1.992100,38.252165,38.453632,-94.971405,30.106638
pos,1980.124029,8.912650,1.863189,38.954047,24.475908,-94.964607,29.980637
pos,2000.263917,8.936930,2.350750,39.577066,28.791036,-94.957962,30.019535
pos,2019.330708,8.809910,2.404020,41.063255,25.835573,-94.942604,29.992893
pos,2023.045324,7.628260,2.078230,11.198489,34.000548,-95.253357,30.066496
pos,2056.242609,8.923300,1.384650,79.445301,57.524707,-94.540718,30.278553
pos,2057.466748,8.665530,1.322620,8.678573,29.635061,-95.279640,30.027143
pos,2062.913068,8.156040,1.230360,80.375446,76.587106,-94.529533,30.450390
pos,2086.289838,8.146080,2.133189,29.019404,22.372087,-95.068054,29.961672
pos,2086.489338,7.731790,0.285550,28.204793,15.759322,-95.076706,29.902061
pos,2086.589059,8.934000,0.459830,24.416542,17.525660,-95.116058,29.917984
pos,2115.720030,9.713560,1.220230,40.203255,26.886531,-94.951515,30.002367
pos,2116.171903,11.055820,0.447760,43.374320,25.497032,-94.918564,29.989841
pos,2145.377719,8.757390,2.541240,42.507219,45.140029,-94.926796,30.166912
pos,2165.099703,9.041360,1.970779,40.016503,26.240553,-94.953484,29.996544
pos,2182.597589,8.447010,2.168570,80.014349,35.983975,-94.536423,30.084375
pos,2192.863271,8.763790,2.054540,33.325545,43.927418,-95.022568,30.155981
pos,2230.134419,8.243820,1.271140,74.634373,42.680106,-94.591995,30.144737
pos,2231.378553,8.827190,1.477970,56.786046,36.828635,-94.778366,30.091990
pos,2244.762538,8.544130,1.306790,11.325356,30.302199,-95.252075,30.033157
pos,2245.105962,9.185290,0.140320,16.789056,29.457751,-95.195198,30.025545
pos,2289.843049,8.762100,1.732040,81.666538,38.437975,-94.519020,30.106497
pos,2321.938399,8.188170,0.834760,131.097617,12.904787,-94.007103,29.876329
pos,2331.131517,9.742390,0.517130,81.437727,39.374887,-94.521332,30.114943
pos,2353.805531,8.200610,1.480930,14.007796,32.632631,-95.224113,30.054165
pos,2375.719389,8.932970,1.952101,42.258576,40.553645,-94.929573,30.125568
pos,2405.526483,8.172650,1.710770,29.874384,10.970448,-95.059479,29.858892
pos,2408.509699,8.838510,1.669080,78.893193,41.672311,-94.547676,30.135653
pos,2442.025249,8.621360,1.785460,26.258500,17.847063,-95.096893,29.920881
pos,2452.274122,7.493690,1.843590,14.156066,31.836848,-95.222580,30.046991
pos,2455.828955,7.904330,1.223250,67.396318,21.123505,-94.668823,29.950417
pos,2513.260308,8.466130,1.742640,30.478541,13.076385,-95.053139,29.877876
pos,2560.706011,8.164390,1.621240,34.806784,19.856304,-95.007919,29.938993
pos,2576.353727,8.376340,1.831230,79.362428,43.684303,-94.542633,30.153790
pos,2606.526618,7.286160,1.881220,33.808820,8.987444,-95.018646,29.841017
pos,2612.447500,9.137300,2.392891,85.183902,25.208214,-94.483437,29.987238
pos,2643.860537,8.953920,1.125021,85.626739,26.047584,-94.478760,29.994804
pos,2685.454250,9.652820,0.801680,30.481833,19.330507,-95.052925,29.934254
pos,2691.372008,8.400600,2.250061,84.221845,27.353718,-94.493279,30.006578
pos,2709.709344,8.027520,2.444410,28.743793,18.396557,-95.071030,29.925835
pos,2765.933329,8.074930,2.118629,19.355341,34.801409,-95.168381,30.073715
pos,2769.280628,9.640350,1.687920,87.284469,26.642570,-94.461456,30.000168
pos,2781.726781,10.001850,0.000000,31.192653,23.181623,-95.045418,29.968969
pos,2857.226127,8.357490,0.611870,40.820417,60.422407,-94.943787,30.304674
pos,2865.983608,9.281660,1.073020,47.561605,31.559456,-94.874710,30.044491
pos,2866.864525,8.181700,1.388060,51.195960,33.811812,-94.836754,30.064795
pos,2895.705265,9.336850,1.030940,33.109391,26.050970,-95.025383,29.994835
